month,avgTotalFare
6,354.7401779690135
5,343.43349163974636
4,356.9261327250481
31,336.8563782973701
53,365.4516318521382
34,386.95311407546285
28,410.0710779544495
26,350.7627042802384
27,393.44331975966765
44,341.48270000576076
12,332.6911662819234
22,283.97275909357455
47,351.08234623363927
1,388.991030670383
52,318.9617795257437
13,361.3788337950592
6,429.66701474337
16,250.0253392971927
3,335.43097656177537
20,335.6226713704352
40,391.5579585858953
57,374.9336733960056
54,390.0831527150892
1,428.1240375974594
6,369.5039277712765
3,297.861216619684
5,360.2896059650739
4,303.52620459904296
7,344.73031996754867
2,369.3403120012385
0-30 days,339.1032502086508
31-60 days,365.17497968727866
