startingAirport,destinationAirport,cheapestFare,cheapestAirline,averageFare
ATL,OAK,463.58,Spirit Airlines,704.4265
ATL,LGA,193.99,Frontier Airlines,280.8139622641511
ATL,BOS,248.6,Delta,306.6237837837838
ATL,DEN,133.98,Frontier Airlines,304.92914285714284
ATL,CLT,387.6,American Airlines,440.7908695652175
ATL,MIA,178.6,American Airlines,380.6789285714286
ATL,DFW,168.59,Spirit Airlines,241.89400000000003
ATL,SFO,307.6,Alaska Airlines,676.965
ATL,ORD,149.6,American Airlines,327.1364516129033
ATL,LAX,239.6,Frontier Airlines,517.1939393939396
ATL,JFK,198.6,JetBlue Airways,379.6449999999999
BOS,OAK,549.6,Delta,736.2063636363637
BOS,LGA,133.6,JetBlue Airways,333.42454545454564
BOS,DEN,313.6,United,356.2923076923079
BOS,CLT,268.6,Delta,651.4453846153847
BOS,MIA,337.2,American Airlines,666.8420000000001
BOS,DFW,252.61,Delta,344.9115384615386
BOS,SFO,353.6,American Airlines,532.3103448275863
BOS,ATL,248.6,JetBlue Airways,427.37173913043483
BOS,ORD,127.6,American Airlines,393.6159375000001
BOS,LAX,311.6,American Airlines,526.6258
BOS,JFK,268.6,Delta,460.43888888888887
CLT,OAK,435.1,Delta,664.2222222222223
CLT,LGA,210.1,United,302.17111111111126
CLT,BOS,97.1,American Airlines,132.42378378378373
CLT,DEN,172.48,Frontier Airlines,363.6220000000001
CLT,MIA,210.1,American Airlines,361.19045454545454
CLT,DFW,243.1,American Airlines,279.5140384615387
CLT,SFO,344.1,American Airlines,656.0031111111111
CLT,ATL,336.1,American Airlines,407.57129032258086
CLT,ORD,201.1,American Airlines,226.54755555555568
CLT,LAX,188.49,Frontier Airlines,410.7653947368417
CLT,JFK,210.1,American Airlines,375.2959375000002
DEN,OAK,123.98,Frontier Airlines,564.1175000000001
DEN,LGA,208.61,JetBlue Airways,272.31750000000005
DEN,BOS,313.6,JetBlue Airways,331.8460344827588
DEN,CLT,296.61,American Airlines,360.8904166666667
DEN,MIA,311.58,Spirit Airlines,430.0105882352943
DEN,DFW,192.99,Frontier Airlines,429.5686956521741
DEN,SFO,163.98,Frontier Airlines,451.5579166666668
DEN,ATL,214.58,Spirit Airlines,320.59388888888884
DEN,ORD,244.6,United,516.1316129032259
DEN,LAX,153.99,Frontier Airlines,363.8941860465117
DEN,JFK,208.61,Delta,494.5000000000002
DFW,OAK,348.61,Delta,676.3650000000001
DFW,LGA,183.6,American Airlines,241.3535849056605
DFW,BOS,252.61,American Airlines,316.1083333333335
DFW,DEN,164.39,Frontier Airlines,398.2087500000001
DFW,CLT,244.6,American Airlines,509.9100000000001
DFW,MIA,284.58,Spirit Airlines,457.796
DFW,SFO,297.6,American Airlines,638.2942105263159
DFW,ATL,166.98,Frontier Airlines,268.96074074074085
DFW,ORD,244.6,United,561.38
DFW,LAX,264.09,Frontier Airlines,389.86489795918385
DFW,JFK,183.6,JetBlue Airways,378.67058823529413
DTW,OAK,367.6,Delta,636.4445000000001
DTW,LGA,190.59,Spirit Airlines,224.7145833333335
DTW,BOS,132.61,United,182.74
DTW,DEN,200.58,Spirit Airlines,365.0887500000002
DTW,CLT,190.6,American Airlines,392.1557142857145
DTW,MIA,173.6,United,379.92903225806475
DTW,DFW,238.58,Spirit Airlines,352.52796610169486
DTW,SFO,369.1,American Airlines,597.0207500000001
DTW,ATL,165.59,Spirit Airlines,483.5567948717947
DTW,ORD,181.6,Delta,186.74999999999994
DTW,LAX,278.59,Spirit Airlines,590.6398507462686
